mw,date,day,time,home,away,us,venue,note,home_score,away_score
1,2026-09-11,Fri,8:20 PM,S Delta United M-B,Meraloma FC M-B,away,"Dugald Morrison Turf, Ladner",,,
2,2026-09-20,Sun,4:05 PM,Shaheen FC M-B,Meraloma FC M-B,away,"Confederation Turf, North Vancouver",,,
3,2026-09-27,Sun,10:00 AM,Meraloma FC M-B,America United FC Legends (NEW),home,"Connaught Park Grass, Vancouver",,,
4,2026-10-03,Sat,6:15 PM,Greater Vancouver United,Meraloma FC M-B,away,"Newton Athl 4 Turf, Surrey",,,
5,2026-10-11,Sun,10:00 AM,Meraloma FC M-B,Caspian FC,home,"Connaught Park Grass, Vancouver",,,
6,2026-10-16,Fri,8:05 PM,Rinos M-B Bulldogs [ex-Primo],Meraloma FC M-B,away,"Point Grey Turf, Vancouver",,,
7,2026-10-25,Sun,10:00 AM,Meraloma FC M-B,FK Nikola Tesla M-B,home,"Connaught Park Grass, Vancouver",,,
8,2026-10-30,Fri,8:05 PM,Croatia SC Vatreni M-B,Meraloma FC M-B,away,"Empire Turf North, Vancouver",,,
9,2026-11-08,Sun,10:00 AM,Meraloma FC M-B,FC Serbia United M-B Tara,home,"Connaught Park Grass, Vancouver",,,
10,2026-11-11,Wed,9:05 PM,NVFC Norvan M-B,Meraloma FC M-B,away,"William Griffin Turf, North Vancouver",,,
11,2026-11-22,Sun,10:00 AM,Meraloma FC M-B,Unicorns FC M-B (NEW),home,"Connaught Park Grass, Vancouver",,,
12,2026-11-29,Sun,10:00 AM,Meraloma FC M-B,S Delta United M-B,home,"Connaught Park Grass, Vancouver",,,
13,2026-12-06,Sun,10:00 AM,Meraloma FC M-B,Shaheen FC M-B,home,"Connaught Park Grass, Vancouver",,,
14,2026-12-13,Sun,10:10 AM,America United FC Legends (NEW),Meraloma FC M-B,away,"Trillium Turf West, Vancouver",,,
15,2026-12-20,Sun,10:00 AM,Meraloma FC M-B,Greater Vancouver United,home,"Connaught Park Grass, Vancouver",,,
16,2027-01-08,Fri,9:05 PM,Caspian FC,Meraloma FC M-B,away,"Windsor Sec Sch Turf, North Vancouver",Flagged as a scheduling conflict on the league site — worth confirming before the match,,
17,2027-01-17,Sun,10:00 AM,Meraloma FC M-B,Rinos M-B Bulldogs [ex-Primo],home,"Connaught Park Grass, Vancouver",,,
18,2027-01-23,Sat,7:00 PM,FK Nikola Tesla M-B,Meraloma FC M-B,away,"Bby Lake West 5 Turf, Burnaby",,,
19,2027-01-31,Sun,10:00 AM,Meraloma FC M-B,Croatia SC Vatreni M-B,home,"Connaught Park Grass, Vancouver",,,
20,2027-02-05,Fri,8:05 PM,FC Serbia United M-B Tara,Meraloma FC M-B,away,"Byrne Creek Sch Turf, Burnaby",,,
21,2027-02-14,Sun,10:00 AM,Meraloma FC M-B,NVFC Norvan M-B,home,"Connaught Park Grass, Vancouver",,,
22,2027-02-20,Sat,8:05 PM,Unicorns FC M-B (NEW),Meraloma FC M-B,away,"Trillium Turf West, Vancouver",,,
