mw,date,day,time,home,away,us,venue,note,home_score,away_score
1,2026-09-12,Sat,4:00 PM,CAS Cascadia Old Growth,MFC Meralomas United,away,Empire Turf N.,,,
2,2026-09-20,Sun,3:00 PM,VCFC Van City FC Masters,MFC Meralomas United,away,Andy Livingstone West,Field/time change,,
3,2026-09-25,Fri,9:00 PM,MFC Meralomas United,NWC New West Timbers,home,Empire Turf S.,Time Change,,
4,2026-10-02,Fri,8:00 PM,MFC Meralomas United,CMFSC CMFSC Royals,home,Empire Turf S.,,,
5,2026-10-16,Fri,8:00 PM,MFC Meralomas United,CAS Cascadia Old Growth,home,Empire Turf S.,,,
6,2026-10-23,Fri,8:00 PM,MFC Meralomas United,VCFC Van City FC Masters,home,Empire Turf S.,,,
7,2026-11-01,Sun,8:00 PM,NWC New West Timbers,MFC Meralomas United,away,Mercer Stadium (AT),,,
8,2026-11-06,Fri,8:00 PM,CMFSC CMFSC Royals,MFC Meralomas United,away,Towncenter East Turf,,,
9,2026-11-27,Fri,8:00 PM,MFC Meralomas United,CFC Coastal FC Sirens,home,Empire Turf S.,,,
10,2026-12-05,Sat,4:00 PM,CAS Cascadia Old Growth,MFC Meralomas United,away,Empire Turf N.,,,
11,2027-01-10,Sun,6:00 PM,VCFC Van City FC Masters,MFC Meralomas United,away,Trillium West turf,,,
12,2027-01-15,Fri,9:00 PM,CFC Coastal FC Sirens,MFC Meralomas United,away,S. Surrey Ath. Pk. #8,Field/time/day change,,
13,2027-01-29,Fri,8:00 PM,MFC Meralomas United,NWC New West Timbers,home,Empire Turf S.,,,
14,2027-02-05,Fri,8:00 PM,MFC Meralomas United,CMFSC CMFSC Royals,home,Empire Turf S.,,,
15,2027-02-12,Fri,9:00 PM,CFC Coastal FC Sirens,MFC Meralomas United,away,S. Surrey Ath. Pk. #8,Field/time/day change,,
